"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-07-02",121472,696,10843,5626,1984,37508,245948,31038584,613449,1041,2105,2728496,53508,874530,56,35216628,705717
"2020-07-01",120776,689,10752,5512,1415,36430,243964,30425135,593510,1027,2098,2674988,51001,822580,56,34510911,669383
"2020-06-30",120087,584,10669,5424,1603,35222,242549,29831625,578188,1008,2044,2623987,47630,813219,56,33841528,663484
"2020-06-29",119503,358,10542,5380,706,33627,240946,29253437,613391,990,2011,2576357,39765,797723,56,33178044,677375
"2020-06-28",119145,271,10473,5252,567,32479,240240,28640046,541541,983,2077,2536592,41331,777667,56,32500669,606962
"2020-06-27",118874,502,10415,5314,1064,32485,239673,28098505,554472,977,2159,2495261,42893,771895,56,31893707,631529
"2020-06-26",118372,624,10334,5283,1520,31710,238609,27544033,563036,966,2075,2452368,44379,763402,56,31262178,741141
"2020-06-25",117748,663,10257,5320,1260,31828,237089,26980997,602835,951,2214,2407989,39681,756120,56,30521037,649938
"2020-06-24",117085,707,10173,5293,1292,31119,235829,26378162,491922,934,2248,2368308,39009,747031,56,29871099,507529
"2020-06-23",116378,725,10077,5402,1279,30226,234537,25886240,468015,918,2293,2329299,33884,738454,56,29363570,644852
"2020-06-22",115653,294,10002,5323,820,28797,233258,25418225,450269,909,2299,2295415,27179,731021,56,28718718,498134
"2020-06-21",115359,293,9944,5195,508,28221,232438,24967956,492502,904,2321,2268236,28848,712904,56,28220584,531461
"2020-06-20",115066,611,9908,5229,738,27970,231930,24475454,529675,888,2380,2239388,31950,708341,56,27689123,577727
"2020-06-19",114455,656,9876,5341,1609,28586,231192,23945779,559468,884,2434,2207438,30960,697556,56,27111396,613187
"2020-06-18",113799,693,9736,5464,1026,28411,229583,23386311,484107,869,2520,2176478,27088,690166,56,26498209,535785
"2020-06-17",113106,794,9665,5612,1154,28561,228557,22902204,466665,857,2588,2149390,23905,680432,56,25962424,522443
"2020-06-16",112312,706,9590,5570,1231,28279,227403,22435539,442880,845,2594,2125485,23268,671680,56,25439981,484041
"2020-06-15",111606,406,9516,5703,632,27866,226172,21992659,412863,835,2640,2102217,18654,664469,56,24955940,446893
"2020-06-14",111200,355,9466,5749,631,27899,225540,21579796,460731,834,2716,2083563,21333,649974,56,24509047,481830
"2020-06-13",110845,690,9430,5883,939,28431,224909,21119065,481998,830,2726,2062230,25246,644787,56,24027217,523604
"2020-06-12",110155,763,9373,6017,1359,29149,223970,20637067,592465,814,2734,2036984,23095,635522,56,23503613,596104
"2020-06-11",109392,899,9295,6074,1422,29686,222611,20044602,438730,792,2886,2013889,22070,628050,56,22907509,479041
"2020-06-10",108493,884,9225,6249,1303,30840,221189,19605872,412153,780,3020,1991819,20727,617695,56,22428468,448038
"2020-06-09",107609,901,9141,6457,1319,31020,219886,19193719,402891,771,3090,1971092,17152,609256,56,21980430,444494
"2020-06-08",106708,676,9013,6402,1064,30984,218567,18790828,377268,762,3240,1953940,17230,602715,56,21535936,410150
"2020-06-07",106032,446,8957,6501,774,31249,217503,18413560,405874,753,3298,1936710,18818,590504,56,21125786,424559
"2020-06-06",105586,711,8920,6762,892,31762,216729,18007686,521416,750,3476,1917892,22560,585047,56,20701227,558266
"2020-06-05",104875,844,8863,6920,1509,32265,215837,17486270,484408,740,3523,1895332,23065,575917,56,20142961,589185
"2020-06-04",104031,864,8787,7057,-2848,32602,214328,17001862,443914,723,3665,1872267,20383,569233,56,19553776,494516
"2020-06-03",103167,980,8688,7227,2134,33026,217176,16557948,451396,717,3749,1851884,20155,556949,56,19059260,471418
"2020-06-02",102187,1000,8566,7407,1707,33709,215042,16106552,400294,710,3852,1831729,20158,541613,56,18587842,440591
"2020-06-01",101187,671,8485,7591,2807,34064,213335,15706258,389274,704,3950,1811571,20360,535950,56,18147251,412903
"2020-05-31",100516,651,8445,7626,964,34641,210528,15316984,375368,704,3669,1791211,21392,522456,56,17734348,421672
"2020-05-30",99865,918,8305,7956,1397,35513,209564,14941616,402364,698,4004,1769819,23437,494308,56,17312676,443339
